,ecephys_unit_id,c50_dg,area_rf,fano_dg,fano_dm,fano_fl,fano_rf,f1_f0_dg,g_dsi_dg,g_osi_dg,width_rf,height_rf,azimuth_rf,mod_idx_dg,p_value_rf,pref_tf_dg,run_mod_dg,run_mod_dm,run_mod_fl,run_mod_rf,pref_dir_dm,pref_ori_dg,run_pval_dg,run_pval_dm,run_pval_fl,run_pval_rf,elevation_rf,on_screen_rf,pref_speed_dm,firing_rate_dg,firing_rate_dm,firing_rate_fl,firing_rate_rf,on_off_ratio_fl,time_to_peak_dm,time_to_peak_fl,time_to_peak_rf,pref_tf_multi_dg,sustained_idx_fl,pref_dir_multi_dm,pref_ori_multi_dg,pref_speed_multi_dm,lifetime_sparseness_dg,lifetime_sparseness_dm,lifetime_sparseness_fl,lifetime_sparseness_rf
30126,950915852,0.12879607843137258,600.0,2.5497931873479316,1.6583333333333334,0.9205797101449276,0.3863945578231293,0.21311580480210224,,,51.054931962023495,2127.0663374773044,30.0,0.26420524394118217,0.0,2.0,0.31256771397616473,,,,135.0,135.0,1.188371706134049e-06,,,,5.0,False,0.001,4.918021771928678,4.638423813554018,3.4637668646515407,7.3103452214221845,,0.0005,0.0345,0.0775,False,0.13855421686746988,False,False,False,0.4687352755822669,0.061312742447396276,0.0075453902381514846,0.05723191516856329
30128,950914900,0.7876745098039217,1300.0,2.8954985754985763,0.5892473118279571,0.8105936073059359,0.7954802259887005,1.0236743488047224,,,48.733553838233604,50.81048839642928,44.615,0.08920457502308746,0.0,2.0,-0.049999999999999926,,,-0.125,135.0,90.0,0.7909333251777371,,,0.5332113859765171,-6.923000000000003,True,0.005,1.8266144140485383,9.262718398781283,9.485392337045758,7.521969134386708,,0.7144999999999999,0.2365,0.0785,False,0.1250717154331612,False,False,False,0.0846018752524685,0.023806544106278242,0.10076427393975718,0.0906887445724768
30129,950914892,,1000.0,7.216587926509187,5.99932998324958,2.71937984496124,1.547126436781609,0.3728140223560705,,,194.0781493626416,63.59821201449074,68.0,0.4172976775992784,0.0,2.0,-0.31249999999999994,,,,135.0,0.0,0.0007241913922968264,,,,-17.0,False,0.001,13.523170601116881,21.06466097399901,10.284723151965345,6.207269281306584,,0.1265,0.0195,0.1345,False,0.21285140562249,False,False,False,0.0781147966324013,0.020697281688886196,0.02565393687223394,0.11785226735515332
30130,950914884,0.18869411764705887,1100.0,5.844553510565783,1.3383966244725736,0.9135275080906152,0.4541666666666666,0.19448875940459084,,,44.52413352157625,63.48227395749576,36.364,0.3299192971908202,0.0,2.0,-0.3329041648007165,,,0.017751479289940766,0.0,0.0,2.5641422148970644e-06,,,0.8812820696113015,4.545000000000002,True,0.01,16.09610176541403,15.628944990578225,8.366329196158336,11.65137667959084,,0.1805,0.2395,0.0335,False,0.1646586345381526,False,False,False,0.008951938692559834,0.025711795818585247,0.17752310536044358,0.07976877658718523
30131,950914874,0.06034117647058825,1200.0,7.132880258899678,1.4952380952380957,2.5966666666666667,8.748717948717948,0.9907122863769456,,,68.81539397327815,40.081522364935715,34.167,0.9071915334958572,0.01,2.0,0.5048309178743962,,,-1.0,90.0,135.0,0.03046643056604297,,,0.26387709863443404,-15.833000000000006,True,0.005,0.6896344654196033,0.34919378578974986,0.9591969779035036,0.6337752419352067,,0.0195,0.0025,0.0155,False,0.09638554216867468,False,False,False,0.5394229051648576,0.23390878090366574,0.2,0.5166631647756456
30132,950914947,0.056062745098039234,1200.0,9.35916754355197,6.300570497147512,1.5696969696969694,1.4101449275362314,0.4038664204980428,,,38.97522258633268,39.705215668834,56.667,0.05102590649932439,0.0,2.0,0.3974470687151265,-0.032303370786516815,,,45.0,135.0,5.199499140295733e-05,0.9555567333419264,,,-10.833000000000006,True,0.01,11.019703021169004,17.407209298559554,4.9824954129987535,8.691931388962601,,0.4915,0.2415,0.0735,False,0.10843373493975904,False,False,False,0.10849534779593016,0.05957048724282025,0.06040268456375841,0.20614830336249715
30134,950915746,0.1544666666666667,500.0,6.876565656565656,2.3619047619047633,1.513333333333334,2.683333333333334,1.0272326626280053,,,3672.1362342353455,36.44441078372428,52.0,0.9968534481337686,0.008,2.0,0.6315789473684211,,,-1.0,180.0,135.0,0.0014709116407741016,,,0.03224201593683156,4.0,False,0.001,1.709359883666962,5.506362125054553,1.2522849433740186,0.9725928020701182,,0.4385,0.0005,0.0025,False,0.09236947791164657,False,False,False,0.14989173158356325,0.07873603351955305,0.0009049773755656076,0.4195050833654093
30135,950915019,0.0902901960784314,1600.0,3.2486306675780354,1.2333333333333334,1.1435294117647061,0.6512820512820513,0.32202847723348604,,,32.101027434497844,56.02367250883508,65.625,0.2758794142940981,0.0,2.0,0.34181329499640595,-0.09493670886075946,,,270.0,135.0,3.7465082198823636e-05,0.6729189734972922,,,1.875,True,0.005,5.320910561154474,8.636995430025085,2.3713480842614394,1.932027640639852,,0.052500000000000005,0.2275,0.0945,False,0.10240963855421684,False,False,False,0.2201518974655496,0.020931919751244324,0.04177997527812116,0.27429337385480906
30136,950915011,0.026113725490196082,0.0,4.65,3.733333333333333,1.6266666666666665,0.8666666666666667,1.254926611195987,,,973.9266618766484,21.611107603976198,,2.3861227024745952,0.7040000000000001,2.0,0.2330827067669173,,,,45.0,90.0,0.59676796669222,,,,,False,0.001,0.4734637909246592,0.464246073593309,0.07993308149195863,0.0230264361256736,,0.0055,0.0155,0.0745,False,0.012048192771084336,False,False,False,0.15451234664004712,0.2694412442396313,1.0,0.9366391184573004
30138,950915735,0.6550431372549019,1600.0,3.2337580794090486,2.7360730593607308,0.8933333333333332,1.0583333333333331,0.9122614056977572,,,102.65918860649865,692.7766064301175,20.0,0.038906985280222565,0.001,2.0,0.4139660493827161,,,,0.0,90.0,0.030764100878356505,,,,16.25,False,0.01,1.1925508161083551,2.151679628045511,0.3197323259678345,1.4473759850423409,,0.1815,0.0125,0.0025,False,0.032128514056224904,False,False,False,0.3042196277697477,0.14093447575590434,0.2,0.2402875464908911
30141,950914975,0.13735294117647062,200.0,5.317739207832664,6.093693693693693,0.7257142857142856,0.7487179487179486,0.6269715355452575,,,34.16194893456804,37.8350059381868,40.0,0.25238821783899235,0.0,2.0,0.5518837803320562,0.7980769230769231,,0.6,225.0,90.0,1.996077476030915e-06,0.049395684625763735,,0.06647223235359666,15.0,True,0.001,3.2564528342940173,2.2303996144374194,2.0249713977962847,0.473686686013857,,0.7335,0.1825,0.1615,False,0.08433734939759037,False,False,False,0.2521365195371376,0.21423543455452546,0.021917808219177992,0.5059581010955219
30142,950914962,0.5138549019607844,1100.0,12.585635074145713,4.776811594202898,1.7231372549019608,1.4952380952380953,0.5804536073415913,,,23.12625671994985,42.301978212836495,80.90899999999999,1.0208418401822632,0.0,2.0,0.6409045780474352,0.4280078895463511,,0.2923076923076923,225.0,135.0,7.076445165324572e-10,0.002752133275757248,,0.05547155889233617,-13.636,True,0.02,4.605157788019543,3.919851630079157,1.3855067458606165,6.3849017885617805,,0.6505000000000001,0.0585,0.1005,False,0.06827309236947791,False,False,False,0.4831462508465082,0.3554906997545928,0.17297297297297298,0.4014778299732333
30144,950915046,0.1929725490196079,1700.0,8.765620155038759,1.6782874617736998,2.985287356321839,1.0285714285714287,0.7846330498699245,,,46.8242535164569,33.728784899721305,28.824,1.2812673214213048,0.0,2.0,0.2490909090909091,,,0.3461538461538461,135.0,135.0,0.3132120617141407,,,0.6123219459011728,1.176000000000002,True,0.02,3.1297512564409398,5.163223722833411,2.3180593632668005,1.5712801413376318,,0.052500000000000005,0.006500000000000001,0.2115,False,0.11646586345381528,False,False,False,0.09419429499458064,0.03785646618732995,0.2,0.3448600897269857
30145,950915031,0.009000000000000001,300.0,3.7294894894894886,5.276190476190474,0.9200000000000002,0.8190476190476192,0.4387793963627111,,,5157.320516924016,41.251173254883646,36.667,0.606684542525073,0.002,2.0,0.3572249503709121,,,0.6666666666666667,225.0,45.0,5.154157234611527e-05,,,0.3675943105031717,-26.666999999999994,False,0.01,6.5795907095633375,9.079038430533496,0.29308796547051497,0.5482484791827048,,0.2345,0.0145,0.0215,False,0.024096385542168672,False,False,False,0.07191232006256218,0.1103838470859999,0.016393442622950838,0.3978776238699414
30146,950915092,0.0303921568627451,300.0,18.017840375586854,7.404597701149425,1.9060317460317464,1.4175438596491228,1.0799082798956916,,,84.84863459914888,52.212105217440154,30.0,0.35178623167318696,0.004,2.0,0.8303618845307641,0.7388193202146691,,,135.0,135.0,2.2073947072524236e-05,0.397563761214415,,,-30.0,True,0.001,3.1330855084897045,3.5080855474137875,2.9575240152024693,1.0241281591132925,,0.6345000000000001,0.0245,0.006500000000000001,False,0.06325301204819278,False,False,False,0.06517624707440284,0.19337386827622935,0.03586800573888094,0.3834750586253215
30147,950915081,0.06461960784313726,2500.0,2.87536231884058,4.150617283950618,4.494463276836159,6.533333333333332,0.9495770032746484,,,85.3278761570825,85.86883997660712,60.8,0.5087307766119827,0.52,2.0,-0.042244640605296264,,,-1.0,135.0,135.0,0.8156257560598631,,,0.07929575236872759,-5.199999999999996,True,0.02,2.4645679727122807,6.790103441599529,5.2755833784692685,2.2938716369004366,,0.1595,0.0625,0.2055,False,0.1184738955823293,False,False,False,0.05780223192329944,0.043940334072241835,0.07104900610116127,0.21468915547204984
