id,waveform_PT_ratio,waveform_amplitude,amplitude_cutoff,cumulative_drift,d_prime,waveform_duration,ecephys_channel_id,firing_rate,waveform_halfwidth,isi_violations,isolation_distance,L_ratio,max_drift,nn_hit_rate,nn_miss_rate,presence_ratio,waveform_recovery_slope,waveform_repolarization_slope,silhouette_score,snr,waveform_spread,waveform_velocity_above,waveform_velocity_below,ecephys_probe_id,local_index,probe_horizontal_position,probe_vertical_position,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,left_right_ccf_coordinate,ecephys_structure_id,ecephys_structure_acronym,ecephys_session_id,lfp_sampling_rate,name,phase,sampling_rate,has_lfp_data,date_of_acquisition,published_at,specimen_id,session_type,age_in_days,sex,genotype
951854005,0.32960971023274,87.3172950000001,0.0181118012493061,398.64,3.8727941381815296,0.6592964824120601,850170946,2.76616875438214,0.247236180904523,0.103948095125023,53.8431963060826,0.00389730260048483,32.11,0.895833333333333,0.00210027100271003,0.99,-0.0455995829675607,0.21023452044871804,0.102081267841266,2.70571039005794,50.0,1.3735343383584602,0.686767169179229,769322802,270,59,2720,6933,1261,7556,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951854044,0.191927698813568,228.80247000000003,0.00247747292117778,167.91,4.52403705791897,0.714237855946399,850170948,1.63520650191465,0.137353433835846,0.0283295299248181,45.4849562841595,0.00759475966410825,21.37,0.9385113268608408,0.00013472095921323004,0.99,-0.015686197483887,0.8389903105864119,0.0981639024959707,4.89279909763326,40.0,1.03015075376885,0.0,769322802,271,27,2720,6931,1253,7560,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951854055,0.471220847485745,86.80542,0.00340556349424769,210.44,3.2615972976029104,0.741708542713568,850170950,5.805579282412598,0.219765494137353,0.10675471561758,68.6109493880636,0.004758714039234471,47.6,0.9147766323024058,0.00606060606060606,0.99,-0.0429460145640544,0.21246817005775895,0.0977742420216212,2.33667727868822,80.0,1.3735343383584602,0.0,769322802,272,43,2740,6928,1245,7564,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951854078,0.597536387811522,142.948455,2.32925224725242e-06,98.98,5.46870148181498,0.274706867671692,850170950,11.235754278914099,0.15108877721942998,0.0006000398768935692,111.20518876450399,9.981931479316601e-05,52.41,1.0,0.000346068660022148,0.99,-0.117105740480819,0.64221207316214,0.22074555663969606,3.80043397256824,60.0,0.34338358458961504,0.0,769322802,272,43,2740,6928,1245,7564,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951854123,0.29693758260791303,274.05163500000003,0.00341316720842314,50.6,3.28925270742463,0.6592964824120601,850170952,0.7081650701654859,0.192294807370184,0.0,41.580238857804,0.00655218554426685,19.81,0.7619047619047621,0.000301689460981496,0.99,-0.0442405422052169,0.950234030890467,0.0980861086334221,4.082083036367299,40.0,0.34338358458961504,0.0,769322802,273,11,2740,6926,1237,7568,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951854145,0.4018579890095009,131.88942,0.00232132010089752,299.34,4.56035530897229,0.7005025125628139,850170954,3.63753111169335,0.219765494137353,0.100186497618473,56.609784829802294,0.0055052334951447785,59.48,0.927777777777778,0.00140893470790378,0.99,-0.0492226952853982,0.367841632431695,0.14411297509511498,3.08663141010853,70.0,0.480737018425461,0.34338358458961504,769322802,274,59,2760,6920,1220,7577,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951854189,0.45121777319416,109.261425,0.00984934167351305,203.64,3.59949610615233,0.741708542713568,850170960,6.25192133648237,0.192294807370184,0.197677727930349,67.3116177758194,0.00289237174631389,57.09,0.9468164794007492,0.00491889063317635,0.99,-0.0327360578146974,0.297958158407282,0.0791857736112127,2.28431839073776,70.0,1.03015075376885,0.34338358458961504,769322802,277,11,2780,6912,1196,7589,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951854281,0.571048222077315,56.117880000000106,0.0142584591303991,206.5,2.71761278656786,0.686767169179229,850170960,6.29072490197089,0.274706867671692,0.0488116369191771,58.6878974409085,0.00533115755149268,46.97,0.9426310583580608,0.00300113836282728,0.99,-0.0150652403208225,0.136030961212759,-0.0675773387399025,1.2681339921923702,80.0,0.549413735343383,-0.824120603015076,769322802,277,11,2780,6912,1196,7589,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951855486,0.34375521998094394,300.50436,0.00443138760457584,260.34,2.9157572467963,0.7279731993299828,850170960,4.59650464420912,0.247236180904523,0.310131071645401,47.1831351389252,0.0182451720225712,38.56,0.853035143769968,0.0037851415987061694,0.99,-0.0563376466923743,0.948690789143214,0.0343805953412233,3.1877649415029,30.0,2.0603015075376896,-0.6867671691792301,769322802,277,11,2780,6912,1196,7589,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951854312,0.424391808296303,262.33467,0.00126540069863595,107.67,5.23714700904391,0.6180904522613061,850170968,1.81234882040782,0.206030150753769,0.0,52.5520322364315,0.00270605318963171,27.33,0.968085106382979,0.00047109495928393606,0.99,-0.0742539633653054,0.798901545423143,0.210452911535554,4.09571994234156,80.0,0.961474036850922,0.274706867671691,769322802,281,11,2820,6897,1148,7615,394.0,VISam,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
